date,vix_close,nifty50_advances,nifty50_declines,nifty500_advances,nifty500_declines,fii_cash_net_cr,dii_cash_net_cr
2026-06-12,12.539666155093446,,,,,,
2026-06-15,13.117163691069004,,,,,,
2026-06-16,13.688983165337197,,,,,,
2026-06-17,14.365680750976637,,,,,,
2026-06-18,14.990822678032748,,,,,,
2026-06-19,15.653470983183931,,,,,,
2026-06-22,16.387775240264368,,,,,,
2026-06-23,17.123568895211942,,,,,,
2026-06-24,17.821087259406802,,,,,,
2026-06-25,18.42601039959856,,,,,,
2026-06-26,19.000517171416185,,,,,,
2026-06-29,19.56903576068228,,,,,,
2026-06-30,20.18465027490285,,,,,,
2026-07-01,20.82951226552416,,,,,,
2026-07-02,21.38228489778672,,,,,,
2026-07-03,21.918836144491017,,,,,,
2026-07-06,22.599406666431445,,,,,,
2026-07-07,23.06423816342557,,,,,,
2026-07-08,23.69653281260825,,,,,,
2026-07-09,24.38911537933597,,,,,,
2026-07-10,24.940579818695824,,,,,,
2026-07-13,25.47928440563221,,,,,,
2026-07-14,26.053221802388528,,,,,,
2026-07-15,26.76802426127217,,,,,,
2026-07-16,27.405041125631023,,,,,,
2026-07-17,27.868081402346853,,,,,,
2026-07-20,28.47574649136569,,,,,,
2026-07-21,29.22713617134549,,,,,,
2026-07-22,29.97550770579496,,,,,,
2026-07-23,30.688511900867947,,,,,,
2026-07-24,31.314706020356155,,,,,,
2026-07-27,31.780212032760872,,,,,,
2026-07-28,32.44716980566965,,,,,,
2026-07-29,33.07957202924473,,,,,,
2026-07-30,33.73725201569354,,,,,,
2026-07-31,34.5414824267931,,,,,,
2026-08-01,,,,,,500.0,-250.0
2026-08-02,,,,,,400.0,-200.0
2026-08-03,35.0,,,,,,
2026-08-04,35.0,,,,,,
2026-08-05,35.0,,,,,,
2026-08-06,35.0,37.0,13.0,22.0,434.0,-2296.43,-1044.81
2026-08-07,12.16,24.0,26.0,232.0,263.0,480.24,235.56
2026-08-08,12.16,24.0,26.0,232.0,263.0,480.24,235.56
